url,size,# of outlinks,content type
http://www.latimes.com/politics/la-pol-sac-oroville-dam-crisis-change-catalyst-20170217-story.html,258780,73,text/html
http://www.latimes.com/entertainment/la-et-entertainment-news-updates-donald-glover-will-play-simba-in-jon-1487378377-htmlstory.html,160580,48,text/html
http://www.latimes.com/sports/more/la-sp-genesis-open-20170218-story.html,185657,65,text/html
http://www.latimes.com/politics/la-na-pol-trump-news-conference-20170216-story.html,244088,84,text/html
http://www.latimes.com/sports/angels/la-sp-angels-stadium-lease-20170218-story.html,180321,62,text/html
http://www.latimes.com/nation/sns-tns-bc-usmexico-border-humanchain-20170217-story.html,118672,54,text/html
http://www.latimes.com/fashion/92550049-132.html,160847,45,text/html
http://www.latimes.com/world/la-fg-sheik-omar-20170218-story.html,230057,74,text/html
http://www.latimes.com/local/lanow/la-me-ln-oroville-fish-hatchery-20170217-story.html,268548,73,text/html
http://www.latimes.com/business/lazarus/,256348,44,text/html
http://www.latimes.com/science/sciencenow/la-sci-sn-african-penguins-trapped-20170210-story.html,236727,70,text/html
http://www.latimes.com/food/,392010,153,text/html
http://www.latimes.com/nation/la-na-dreamer-daca-deportation-20170217-story.html,256637,77,text/html
http://www.latimes.com/world/la-fg-pakistan-bombing-20170217-story.html,242217,77,text/html
http://www.latimes.com/sports/lakers/la-sp-magic-lakers-plaschke-20170216-story.html,232141,82,text/html
http://www.latimes.com/opinion/opinion-la/la-ol-gorsuch-gay-friends-republican-20170217-story.html,247351,91,text/html
http://www.latimes.com/opinion/op-ed/la-oe-hanson-oroville-20170214-story.html,230310,77,text/html
http://www.latimes.com/entertainment/arts/miranda/,195253,45,text/html
http://www.latimes.com/business/hollywood/,307978,108,text/html
http://www.latimes.com/travel/la-tr-california-bucket-list-updates-2017-htmlstory.html,275956,164,text/html
http://www.latimes.com/travel/92549925-132.html,159963,45,text/html
http://www.latimes.com/health/la-he-jenna-bush-hager-5q-20170218-story.html,224899,63,text/html
http://www.latimes.com/entertainment/latest/,309265,113,text/html
http://www.latimes.com/local/lanow/la-me-oroville-rain-20170217-story.html,281096,77,text/html
http://www.latimes.com/travel/deals/,248619,46,text/html
http://www.latimes.com/nation/la-na-evangelical-refugee-20170215-story.html,288429,77,text/html
http://www.latimes.com/food/dailydish/la-fo-farmers-market-report-carrots-recipes-20170218-story.html,184126,61,text/html
http://www.latimes.com/visuals/video/,332958,101,text/html
http://www.latimes.com/columnists/,121631,71,text/html
http://www.latimes.com/local/california/la-me-ln-palm-springs-investigation-20170216-story.html,245813,73,text/html
http://www.latimes.com/newsletters/la-dd-dining-newsletter-20170216-story.html,194731,67,text/html
http://www.latimes.com/politics/la-na-pol-trump-partisan-polarization-20170217-story.html,250885,80,text/html
http://www.latimes.com/travel/deals/la-tr-las-vegas-super-bowl-sunday-20170129-story.html,190105,67,text/html
http://www.latimes.com/opinion/op-ed/la-oe-welch-immigration-enforcement-obama-trump-20170216-story.html,239267,85,text/html
http://www.latimes.com/nation/,365214,185,text/html
http://www.latimes.com/opinion/opinion-la/la-ol-trump-press-conference-20170216-story.html,237761,74,text/html
http://www.latimes.com/fashion/la-ig-nyfw-20170217-story.html,278839,64,text/html
http://www.latimes.com/local/lanow/la-me-ln-immigrant-rally-20170218-story.html,240593,77,text/html
http://www.latimes.com/health/la-he-online-dating-safety-tips-20170208-story.html,249293,65,text/html
http://www.latimes.com/business/lazarus/la-fi-lazarus-drug-pricing-evzio-20170217-story.html,256115,86,text/html
http://www.latimes.com/sports/highschool/varsity-times/,261214,44,text/html
http://www.latimes.com/food/dailydish/la-fo-wines-best-year-2017-story.html,231406,55,text/html
http://www.latimes.com/local/lanow/,297251,43,text/html
http://www.latimes.com/politics/,309583,124,text/html
http://www.latimes.com/politics/la-na-trump-tweets-2017-htmlstory.html,343886,273,text/html
http://www.latimes.com/business/,364413,169,text/html
http://www.latimes.com/travel/deals/la-tr-las-vegas-valentines-day-massacre-museum-20170213-story.html,242124,74,text/html
http://www.latimes.com/food/jonathan-gold/la-dd-gold-china-taste-20170213-story.html,225433,61,text/html
http://www.latimes.com/business/92607300-157.html,154349,41,text/html
http://www.latimes.com/business/hiltzik/la-fi-hiltzik-obamacare-ryan-20170217-story.html,271355,94,text/html
http://www.latimes.com/health/la-he-dr-ruth-sexual-health-expo-20170202-story.html,228685,66,text/html
http://www.latimes.com/entertainment/tv/,274942,112,text/html
http://www.latimes.com/fashion/la-ig-wwd-laudree-beverly-hills-jimmy-choo-20170217-story.html,222890,66,text/html
http://www.latimes.com/travel/deals/la-tr-vegas-karaoke-headliners-20170209-story.html,237582,72,text/html
http://www.latimes.com/food/dailydish/,243784,45,text/html
http://www.latimes.com/entertainment/envelope/,240337,45,text/html
http://www.latimes.com/business/la-fi-inflight-calls-20170218-story.html,231357,73,text/html
http://www.latimes.com/food/92121824-132.html,163275,47,text/html
http://www.latimes.com/world/mexico-americas/,326758,136,text/html
http://www.latimes.com/business/autos/,291428,132,text/html
http://www.latimes.com/local/california/la-me-syrian-refugees-el-cajon-20170213-story.html,261080,83,text/html
http://www.latimes.com/opinion/op-ed/la-oe-gioia-trump-administration-should-not-defund-the-nea-20170219-story.html,237408,69,text/html
